time,leek_price,onion__price,onion_whole_price,leek_whole_price,mt,mlt,mht,mm,dmm,ms,rh,sun,solar,g_onion_area,g_onion_output,onion_area,onion_output,barley_area,barley_output,total.cpi,b.cpi,vege.cpi,g.onion.cpi,onion.cpi,disel.cpi,onion_export,onion_import,onion_exp.amo,onion_imp.amo,leek_export,leek_import,leek_exp.amo,leek_imp.amo,seasonal,20ago_sea,60ago_sea,120ago_sea,240ago_sea,trend,20ago_tre,60ago_tre,120ago_tre,240ago_tre,remainder,1ago_rem,2ago_rem,3ago_rem,4ago_rem,5ago_rem,6ago_rem,7ago_rem,8ago_rem,9ago_rem,10ago_rem,11ago_rem,12ago_rem,13ago_rem,14ago_rem,15ago_rem,16ago_rem,17ago_rem,18ago_rem,19ago_rem,20ago_rem,40ago_rem,60ago_rem,120ago_rem,240ago_rem
2000-10-31,1050,800,470,600,10,16.9,2.6,0.2,39.5,1.1,65,3.9,8.82,13539.33333,387647.3333,16131,935828,45683,209824,67.57,74.532,71.875,78.869,48.471,48.266,0,59,0,7,0.6,0,2,0,-51.52908862,20.82774417,15.94948289,-16.54640695,-114.175249,1061.428959,1073.186843,1076.40155,1047.064311,956.0039292,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,38.4372159,-24.88222199,-42.5885157,-57.58276212,-58.57050118,119.3491929,107.2018863,139.2057093,127.5602463,125.9181724,78.95932674,107.0610863,187.0676077,250.4074625,205.9854125,365.5451814,57.64896728,-30.51790379,208.1713198
2000-11-01,1050,800,470,600,11.4,14.1,9.5,6.9,32.5,1.4,76,0.1,3.83,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-45.03076741,-23.18544219,-12.45785205,-28.49411437,-105.5566708,1060.423326,1072.77798,1076.868675,1047.567817,956.8364003,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,38.4372159,-24.88222199,-42.5885157,-57.58276212,-58.57050118,119.3491929,107.2018863,139.2057093,127.5602463,125.9181724,78.95932674,107.0610863,187.0676077,250.4074625,397.9342111,85.58917659,-19.07370259,198.7202704
2000-11-02,1050,800,470,600,12.6,18.4,8.5,3.8,14.7,1.8,73,4.8,10.48,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-89.19911286,-9.436723779,-23.24613938,-39.06086942,-101.6523782,1059.417694,1072.369116,1077.335801,1048.071323,957.6688714,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,38.4372159,-24.88222199,-42.5885157,-57.58276212,-58.57050118,119.3491929,107.2018863,139.2057093,127.5602463,125.9181724,78.95932674,107.0610863,187.0676077,417.2280028,95.91033828,40.98954624,193.9835068
2000-11-03,1050,800,470,600,11.9,20.1,6.4,0,0,1.2,72,8.2,12.51,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-81.84364878,20.9786613,-21.74871242,0.56285173,-95.93856191,1058.412062,1071.960252,1077.802927,1048.574829,958.5013425,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,38.4372159,-24.88222199,-42.5885157,-57.58276212,-58.57050118,119.3491929,107.2018863,139.2057093,127.5602463,125.9181724,78.95932674,107.0610863,1228.617033,43.94578569,0.862318875,187.4372194
2000-11-04,1050,800,500,600,12.8,19.8,6.8,0,0,1.7,70,6.4,10.97,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-80.6786609,49.48928446,23.98680978,88.28181097,-96.36760273,1057.40643,1071.551389,1078.270052,1049.078336,959.3338136,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,38.4372159,-24.88222199,-42.5885157,-57.58276212,-58.57050118,119.3491929,107.2018863,139.2057093,127.5602463,125.9181724,78.95932674,1674.148919,397.7431379,-87.36014658,187.0337891
2000-11-06,1000,800,500,600,11.4,21,4.2,0,0,1.1,66,8.6,12.22,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-93.97348561,52.93930247,25.38899864,94.71505593,-106.7966435,1056.400797,1071.142525,1078.737178,1049.581842,960.1662847,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,38.4372159,-24.88222199,-42.5885157,-57.58276212,-58.57050118,119.3491929,107.2018863,139.2057093,127.5602463,125.9181724,834.1093777,245.8738234,-94.29689776,196.6303589
2000-11-07,1100,800,500,600,11.4,19.1,5.2,0,0.1,2.4,54,6.6,10.08,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-129.6331126,51.70609218,71.00614456,75.43401517,-87.03520816,1055.395165,1070.733662,1079.204304,1050.085348,960.9987558,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,38.4372159,-24.88222199,-42.5885157,-57.58276212,-58.57050118,119.3491929,107.2018863,139.2057093,127.5602463,331.7802109,-50.2104482,-75.51936322,176.0364524
2000-11-08,1100,800,500,700,4.7,9.9,0.9,0,0,2.1,46,2.7,8.13,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-138.0563748,40.46949283,46.7476128,39.48630774,-75.27377279,1054.389533,1070.324798,1079.671429,1050.588854,961.8312268,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,38.4372159,-24.88222199,-42.5885157,-57.58276212,-58.57050118,119.3491929,107.2018863,139.2057093,137.3138531,-26.41904207,-40.07516201,163.4425459
2000-11-09,1100,800,500,700,6.3,14.5,-0.8,0,0,1.3,51,7.2,10.86,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-130.1053772,22.88217943,46.96490289,20.24412856,-108.8456707,1053.383901,1069.915934,1080.138555,1051.09236,962.6636979,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,38.4372159,-24.88222199,-42.5885157,-57.58276212,-58.57050118,119.3491929,107.2018863,122.0194674,172.8965422,-21.33648904,96.18197282
2000-11-10,1100,800,500,700,7.6,13.8,2.6,0.5,3.3,2.1,61,3,5.37,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-129.1317875,11.14373652,50.99481786,3.315460144,-67.89375918,1052.378268,1069.507071,1080.605681,1051.595867,963.496169,176.7535192,176.7214766,183.6668419,174.2379474,37.57268822,73.27223123,73.43158684,79.78141864,34.60744091,40.10012986,36.02139023,21.89503155,57.86391097,42.11850468,18.37309838,38.4372159,-24.88222199,-42.5885157,-57.58276212,-58.57050118,119.3491929,170.8329643,518.3995016,-4.911326848,54.39759016
