time,onion__price,leek_price,onion_whole_price,leek_whole_price,mt,mlt,mht,mm,dmm,ms,rh,sun,solar,g_onion_area,g_onion_output,onion_area,onion_output,barley_area,barley_output,total.cpi,b.cpi,vege.cpi,g.onion.cpi,onion.cpi,disel.cpi,onion_export,onion_import,onion_exp.amo,onion_imp.amo,leek_export,leek_import,leek_exp.amo,leek_imp.amo,seasonal,20ago_sea,60ago_sea,120ago_sea,240ago_sea,trend,20ago_tre,60ago_tre,120ago_tre,240ago_tre,remainder,1ago_rem,2ago_rem,3ago_rem,4ago_rem,5ago_rem,6ago_rem,7ago_rem,8ago_rem,9ago_rem,10ago_rem,11ago_rem,12ago_rem,13ago_rem,14ago_rem,15ago_rem,16ago_rem,17ago_rem,18ago_rem,19ago_rem,20ago_rem,40ago_rem,60ago_rem,120ago_rem,240ago_rem
2000-10-31,800,1050,470,600,10,16.9,2.6,0.2,39.5,1.1,65,3.9,8.82,13539.33333,387647.3333,16131,935828,45683,209824,67.57,74.532,71.875,78.869,48.471,48.266,0,59,0,7,0.6,0,2,0,-88.20976789,-21.51379559,114.758788,28.25906161,-136.8269071,808.6068321,822.2931009,848.8268171,871.7497156,929.8164645,79.6029358,59.55305071,58.55078466,57.54851862,56.54625257,48.40112938,50.63695857,54.22536071,53.0886915,51.94252178,47.2401736,46.1280827,49.78022626,46.34613394,10.36085603,14.16708049,8.474832745,13.923203,10.6096685,9.677086378,-0.779305268,-91.06424889,-213.5856051,99.99122282,-92.98955744
2000-11-01,800,1050,470,600,11.4,14.1,9.5,6.9,32.5,1.4,76,0.1,3.83,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-88.6539175,-31.23178936,116.1013926,23.25763745,-135.3392932,808.0487157,821.554703,848.2885658,871.4718026,929.2646367,80.60520185,79.6029358,59.55305071,58.55078466,57.54851862,56.54625257,48.40112938,50.63695857,54.22536071,53.0886915,51.94252178,47.2401736,46.1280827,49.78022626,46.34613394,10.36085603,14.16708049,8.474832745,13.923203,10.6096685,9.677086378,-99.48202887,-214.3899584,105.27056,-93.92534353
2000-11-02,800,1050,470,600,12.6,18.4,8.5,3.8,14.7,1.8,73,4.8,10.48,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-117.2885433,-31.42597362,100.0630448,12.35145139,-135.8992983,807.4905992,820.8163051,847.7503145,871.1938896,928.7128089,109.7979441,80.60520185,79.6029358,59.55305071,58.55078466,57.54851862,56.54625257,48.40112938,50.63695857,54.22536071,53.0886915,51.94252178,47.2401736,46.1280827,49.78022626,46.34613394,10.36085603,14.16708049,8.474832745,13.923203,10.6096685,-95.99504696,-197.8133592,16.45465901,-92.81351058
2000-11-03,800,1050,470,600,11.9,20.1,6.4,0,0,1.2,72,8.2,12.51,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-116.780312,-34.00111025,96.73898267,21.2071701,-131.2212082,806.9324828,820.0779072,847.2120632,870.9159766,928.1609811,109.8478292,109.7979441,80.60520185,79.6029358,59.55305071,58.55078466,57.54851862,56.54625257,48.40112938,50.63695857,54.22536071,53.0886915,51.94252178,47.2401736,46.1280827,49.78022626,46.34613394,10.36085603,14.16708049,8.474832745,13.923203,-94.88901742,-193.9510458,7.876853288,-96.93977287
2000-11-04,800,1050,500,600,12.8,19.8,6.8,0,0,1.7,70,6.4,10.97,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-115.1768425,-27.81434212,93.03396818,55.72955546,-121.7812133,806.3743664,819.3395094,846.6738119,870.6380636,927.6091532,108.8024762,109.8478292,109.7979441,80.60520185,79.6029358,59.55305071,58.55078466,57.54851862,56.54625257,48.40112938,50.63695857,54.22536071,53.0886915,51.94252178,47.2401736,46.1280827,49.78022626,46.34613394,10.36085603,14.16708049,8.474832745,-96.16394027,-189.70778,-26.3676191,-105.8279399
2000-11-06,800,1000,500,600,11.4,21,4.2,0,0,1.1,66,8.6,12.22,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-116.1175041,-32.76819199,82.51942988,52.10908369,-121.865028,805.8162499,818.6011115,846.1355606,870.3601507,927.0573254,110.3012541,108.8024762,109.8478292,109.7979441,80.60520185,79.6029358,59.55305071,58.55078466,57.54851862,56.54625257,48.40112938,50.63695857,54.22536071,53.0886915,51.94252178,47.2401736,46.1280827,49.78022626,46.34613394,10.36085603,14.16708049,-90.29600597,-178.6549904,-22.46923434,-105.1922974
2000-11-07,800,1100,500,600,11.4,19.1,5.2,0,0.1,2.4,54,6.6,10.08,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-125.3913365,-28.22356966,80.86757696,51.63146906,-126.7107474,805.2581335,817.8627136,845.5973093,870.0822377,926.5054976,120.133203,110.3012541,108.8024762,109.8478292,109.7979441,80.60520185,79.6029358,59.55305071,58.55078466,57.54851862,56.54625257,48.40112938,50.63695857,54.22536071,53.0886915,51.94252178,47.2401736,46.1280827,49.78022626,46.34613394,10.36085603,-92.34873108,-176.4648862,-21.71370672,-99.7947502
2000-11-08,800,1100,500,700,4.7,9.9,0.9,0,0,2.1,46,2.7,8.13,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-149.5880354,-63.47044971,74.28586854,47.725283,-126.794562,804.7000171,817.1243158,845.059058,869.8043247,925.9536698,144.8880184,120.133203,110.3012541,108.8024762,109.8478292,109.7979441,80.60520185,79.6029358,59.55305071,58.55078466,57.54851862,56.54625257,48.40112938,50.63695857,54.22536071,53.0886915,51.94252178,47.2401736,46.1280827,49.78022626,46.34613394,-95.1939148,-169.3449265,-17.52960768,-99.15910772
2000-11-09,800,1100,500,700,6.3,14.5,-0.8,0,0,1.3,51,7.2,10.86,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-150.2834584,-66.16614416,71.59195328,55.05495938,-124.4974243,804.1419006,816.3859179,844.5208067,869.5264117,925.4018419,146.1415577,144.8880184,120.133203,110.3012541,108.8024762,109.8478292,109.7979441,80.60520185,79.6029358,59.55305071,58.55078466,57.54851862,56.54625257,48.40112938,50.63695857,54.22536071,53.0886915,51.94252178,47.2401736,46.1280827,49.78022626,-48.84027575,-166.11276,-24.58137108,-100.9044176
2000-11-10,800,1100,500,700,7.6,13.8,2.6,0.5,3.3,2.1,61,3,5.37,13539.33333,387647.3333,16131,935828,45683,209824,67.504,74.312,56.793,60.004,48.627,51.55,0,273,0,32,0.7,0,2,0,-145.8472697,-61.77560272,83.36543265,51.60210497,-124.581239,803.5837842,815.64752,843.9825554,869.2484987,924.8500141,142.2634855,146.1415577,144.8880184,120.133203,110.3012541,108.8024762,109.8478292,109.7979441,80.60520185,79.6029358,59.55305071,58.55078466,57.54851862,56.54625257,48.40112938,50.63695857,54.22536071,53.0886915,51.94252178,47.2401736,46.1280827,-43.03393093,-177.347988,-20.85060369,-100.2687752
