,itemname,kindname,countyname,marketname,yyyy,regday,price
0,[],[],평균,[],2000,01/03,400
1,[],[],평균,[],2000,01/04,400
2,[],[],평균,[],2000,01/05,400
3,[],[],평균,[],2000,01/06,400
4,[],[],평균,[],2000,01/07,400
5,[],[],평균,[],2000,01/08,400
6,[],[],평균,[],2000,01/10,400
7,[],[],평균,[],2000,01/11,400
8,[],[],평균,[],2000,01/12,420
9,[],[],평균,[],2000,01/13,430
10,[],[],평균,[],2000,01/14,430
11,[],[],평균,[],2000,01/15,430
12,[],[],평균,[],2000,01/17,430
13,[],[],평균,[],2000,01/18,430
14,[],[],평균,[],2000,01/19,430
15,[],[],평균,[],2000,01/20,450
16,[],[],평균,[],2000,01/21,450
17,[],[],평균,[],2000,01/22,450
18,[],[],평균,[],2000,01/24,450
19,[],[],평균,[],2000,01/25,450
20,[],[],평균,[],2000,01/26,450
21,[],[],평균,[],2000,01/27,450
22,[],[],평균,[],2000,01/28,450
23,[],[],평균,[],2000,01/29,450
24,[],[],평균,[],2000,01/31,450
25,[],[],평균,[],2000,02/01,450
26,[],[],평균,[],2000,02/02,450
27,[],[],평균,[],2000,02/03,450
28,[],[],평균,[],2000,02/07,450
29,[],[],평균,[],2000,02/08,450
30,[],[],평균,[],2000,02/09,450
31,[],[],평균,[],2000,02/10,450
32,[],[],평균,[],2000,02/11,450
33,[],[],평균,[],2000,02/12,450
34,[],[],평균,[],2000,02/14,480
35,[],[],평균,[],2000,02/15,480
36,[],[],평균,[],2000,02/16,480
37,[],[],평균,[],2000,02/17,480
38,[],[],평균,[],2000,02/18,480
39,[],[],평균,[],2000,02/19,480
40,[],[],평균,[],2000,02/21,480
41,[],[],평균,[],2000,02/22,480
42,[],[],평균,[],2000,02/23,500
43,[],[],평균,[],2000,02/24,500
44,[],[],평균,[],2000,02/25,550
45,[],[],평균,[],2000,02/26,550
46,[],[],평균,[],2000,02/28,550
47,[],[],평균,[],2000,02/29,600
48,[],[],평균,[],2000,03/02,650
49,[],[],평균,[],2000,03/03,650
50,[],[],평균,[],2000,03/04,650
51,[],[],평균,[],2000,03/06,700
52,[],[],평균,[],2000,03/07,700
53,[],[],평균,[],2000,03/08,700
54,[],[],평균,[],2000,03/09,700
55,[],[],평균,[],2000,03/10,700
56,[],[],평균,[],2000,03/11,700
57,[],[],평균,[],2000,03/13,750
58,[],[],평균,[],2000,03/14,750
59,[],[],평균,[],2000,03/15,800
60,[],[],평균,[],2000,03/16,800
61,[],[],평균,[],2000,03/17,800
62,[],[],평균,[],2000,03/18,800
63,[],[],평균,[],2000,03/20,850
64,[],[],평균,[],2000,03/21,850
65,[],[],평균,[],2000,03/22,850
66,[],[],평균,[],2000,03/23,850
67,[],[],평균,[],2000,03/24,850
68,[],[],평균,[],2000,03/25,850
69,[],[],평균,[],2000,03/27,850
70,[],[],평균,[],2000,03/28,850
71,[],[],평균,[],2000,03/29,850
72,[],[],평균,[],2000,03/30,800
73,[],[],평균,[],2000,03/31,800
74,[],[],평균,[],2000,04/01,800
75,[],[],평균,[],2000,04/03,800
76,[],[],평균,[],2000,04/04,800
77,[],[],평균,[],2000,04/06,850
78,[],[],평균,[],2000,04/07,850
79,[],[],평균,[],2000,04/08,850
80,[],[],평균,[],2000,04/10,850
81,[],[],평균,[],2000,04/11,850
82,[],[],평균,[],2000,04/12,850
83,[],[],평균,[],2000,04/14,850
84,[],[],평균,[],2000,04/15,850
85,[],[],평균,[],2000,04/17,850
86,[],[],평균,[],2000,04/18,850
87,[],[],평균,[],2000,04/19,850
88,[],[],평균,[],2000,04/20,850
89,[],[],평균,[],2000,04/21,850
90,[],[],평균,[],2000,04/22,850
91,[],[],평균,[],2000,04/24,850
92,[],[],평균,[],2000,04/25,850
93,[],[],평균,[],2000,04/26,850
94,[],[],평균,[],2000,04/27,850
95,[],[],평균,[],2000,05/02,650
96,[],[],평균,[],2000,05/03,650
97,[],[],평균,[],2000,05/04,650
98,[],[],평균,[],2000,05/06,650
99,[],[],평균,[],2000,05/08,650
100,[],[],평균,[],2000,05/09,650
101,[],[],평균,[],2000,05/10,600
102,[],[],평균,[],2000,05/12,600
103,[],[],평균,[],2000,05/13,600
104,[],[],평균,[],2000,05/15,550
105,[],[],평균,[],2000,05/16,550
106,[],[],평균,[],2000,05/17,550
107,[],[],평균,[],2000,05/18,450
108,[],[],평균,[],2000,05/19,450
109,[],[],평균,[],2000,05/20,450
110,[],[],평균,[],2000,05/22,400
111,[],[],평균,[],2000,05/23,350
112,[],[],평균,[],2000,05/24,350
113,[],[],평균,[],2000,05/25,350
114,[],[],평균,[],2000,05/26,350
115,[],[],평균,[],2000,05/27,350
116,[],[],평균,[],2000,05/29,350
117,[],[],평균,[],2000,05/30,350
118,[],[],평균,[],2000,05/31,350
119,[],[],평균,[],2000,06/01,350
120,[],[],평균,[],2000,06/02,350
121,[],[],평균,[],2000,06/03,350
122,[],[],평균,[],2000,06/05,350
123,[],[],평균,[],2000,06/07,350
124,[],[],평균,[],2000,06/08,300
125,[],[],평균,[],2000,06/09,300
126,[],[],평균,[],2000,06/10,250
127,[],[],평균,[],2000,06/12,250
128,[],[],평균,[],2000,06/13,250
129,[],[],평균,[],2000,06/14,250
130,[],[],평균,[],2000,06/15,250
131,[],[],평균,[],2000,06/16,250
132,[],[],평균,[],2000,06/17,250
133,[],[],평균,[],2000,06/19,280
134,[],[],평균,[],2000,06/20,280
135,[],[],평균,[],2000,06/21,280
136,[],[],평균,[],2000,06/22,300
137,[],[],평균,[],2000,06/23,320
138,[],[],평균,[],2000,06/24,350
139,[],[],평균,[],2000,06/26,350
140,[],[],평균,[],2000,06/27,350
141,[],[],평균,[],2000,06/28,350
142,[],[],평균,[],2000,06/29,350
143,[],[],평균,[],2000,06/30,350
144,[],[],평균,[],2000,07/01,350
145,[],[],평균,[],2000,07/03,350
146,[],[],평균,[],2000,07/04,350
147,[],[],평균,[],2000,07/05,350
148,[],[],평균,[],2000,07/06,350
149,[],[],평균,[],2000,07/07,350
150,[],[],평균,[],2000,07/08,350
151,[],[],평균,[],2000,07/10,350
152,[],[],평균,[],2000,07/11,350
153,[],[],평균,[],2000,07/12,350
154,[],[],평균,[],2000,07/13,350
155,[],[],평균,[],2000,07/14,350
156,[],[],평균,[],2000,07/15,350
157,[],[],평균,[],2000,07/18,350
158,[],[],평균,[],2000,07/19,350
159,[],[],평균,[],2000,07/21,350
160,[],[],평균,[],2000,07/22,350
161,[],[],평균,[],2000,07/24,350
162,[],[],평균,[],2000,07/25,350
163,[],[],평균,[],2000,07/26,350
164,[],[],평균,[],2000,07/27,350
165,[],[],평균,[],2000,07/28,350
166,[],[],평균,[],2000,07/29,350
167,[],[],평균,[],2000,07/31,350
168,[],[],평균,[],2000,08/01,350
169,[],[],평균,[],2000,08/02,350
170,[],[],평균,[],2000,08/03,350
171,[],[],평균,[],2000,08/04,350
