,itemname,kindname,countyname,marketname,yyyy,regday,price
0,[],[],평균,[],2000,01/03,430
1,[],[],평균,[],2000,01/04,430
2,[],[],평균,[],2000,01/05,430
3,[],[],평균,[],2000,01/06,430
4,[],[],평균,[],2000,01/07,430
5,[],[],평균,[],2000,01/08,430
6,[],[],평균,[],2000,01/10,430
7,[],[],평균,[],2000,01/11,430
8,[],[],평균,[],2000,01/12,430
9,[],[],평균,[],2000,01/13,430
10,[],[],평균,[],2000,01/14,430
11,[],[],평균,[],2000,01/15,430
12,[],[],평균,[],2000,01/17,430
13,[],[],평균,[],2000,01/18,430
14,[],[],평균,[],2000,01/19,430
15,[],[],평균,[],2000,01/20,430
16,[],[],평균,[],2000,01/21,430
17,[],[],평균,[],2000,01/22,430
18,[],[],평균,[],2000,01/24,430
19,[],[],평균,[],2000,01/25,430
20,[],[],평균,[],2000,01/26,430
21,[],[],평균,[],2000,01/27,430
22,[],[],평균,[],2000,01/28,430
23,[],[],평균,[],2000,01/29,430
24,[],[],평균,[],2000,01/31,430
25,[],[],평균,[],2000,02/01,430
26,[],[],평균,[],2000,02/02,430
27,[],[],평균,[],2000,02/03,430
28,[],[],평균,[],2000,02/07,430
29,[],[],평균,[],2000,02/08,430
30,[],[],평균,[],2000,02/09,430
31,[],[],평균,[],2000,02/10,430
32,[],[],평균,[],2000,02/11,430
33,[],[],평균,[],2000,02/12,430
34,[],[],평균,[],2000,02/14,430
35,[],[],평균,[],2000,02/15,430
36,[],[],평균,[],2000,02/16,430
37,[],[],평균,[],2000,02/17,430
38,[],[],평균,[],2000,02/18,430
39,[],[],평균,[],2000,02/19,430
40,[],[],평균,[],2000,02/21,430
41,[],[],평균,[],2000,02/22,430
42,[],[],평균,[],2000,02/23,430
43,[],[],평균,[],2000,02/24,430
44,[],[],평균,[],2000,02/25,430
45,[],[],평균,[],2000,02/26,430
46,[],[],평균,[],2000,02/28,430
47,[],[],평균,[],2000,02/29,430
48,[],[],평균,[],2000,03/02,500
49,[],[],평균,[],2000,03/03,560
50,[],[],평균,[],2000,03/04,560
51,[],[],평균,[],2000,03/06,650
52,[],[],평균,[],2000,03/07,700
53,[],[],평균,[],2000,03/08,700
54,[],[],평균,[],2000,03/09,700
55,[],[],평균,[],2000,03/10,700
56,[],[],평균,[],2000,03/11,700
57,[],[],평균,[],2000,03/13,700
58,[],[],평균,[],2000,03/14,700
59,[],[],평균,[],2000,03/15,700
60,[],[],평균,[],2000,03/16,700
61,[],[],평균,[],2000,03/17,700
62,[],[],평균,[],2000,03/18,700
63,[],[],평균,[],2000,03/20,700
64,[],[],평균,[],2000,03/21,700
65,[],[],평균,[],2000,03/22,700
66,[],[],평균,[],2000,03/23,700
67,[],[],평균,[],2000,03/24,700
68,[],[],평균,[],2000,03/25,700
69,[],[],평균,[],2000,03/27,700
70,[],[],평균,[],2000,03/28,700
71,[],[],평균,[],2000,03/29,700
72,[],[],평균,[],2000,03/30,700
73,[],[],평균,[],2000,03/31,700
74,[],[],평균,[],2000,04/01,700
75,[],[],평균,[],2000,04/03,700
76,[],[],평균,[],2000,04/04,700
77,[],[],평균,[],2000,04/06,750
78,[],[],평균,[],2000,04/07,800
79,[],[],평균,[],2000,04/08,800
80,[],[],평균,[],2000,04/10,800
81,[],[],평균,[],2000,04/11,800
82,[],[],평균,[],2000,04/12,800
83,[],[],평균,[],2000,04/14,800
84,[],[],평균,[],2000,04/15,800
85,[],[],평균,[],2000,04/17,800
86,[],[],평균,[],2000,04/18,850
87,[],[],평균,[],2000,04/19,900
88,[],[],평균,[],2000,04/20,900
89,[],[],평균,[],2000,04/21,900
90,[],[],평균,[],2000,04/22,900
91,[],[],평균,[],2000,04/24,900
92,[],[],평균,[],2000,04/25,900
93,[],[],평균,[],2000,04/26,900
94,[],[],평균,[],2000,04/27,900
95,[],[],평균,[],2000,05/02,700
96,[],[],평균,[],2000,05/03,700
97,[],[],평균,[],2000,05/04,600
98,[],[],평균,[],2000,05/06,600
99,[],[],평균,[],2000,05/08,600
100,[],[],평균,[],2000,05/09,600
101,[],[],평균,[],2000,05/10,600
102,[],[],평균,[],2000,05/12,600
103,[],[],평균,[],2000,05/13,600
104,[],[],평균,[],2000,05/15,600
105,[],[],평균,[],2000,05/16,600
106,[],[],평균,[],2000,05/17,600
107,[],[],평균,[],2000,05/18,600
108,[],[],평균,[],2000,05/19,600
109,[],[],평균,[],2000,05/20,500
110,[],[],평균,[],2000,05/22,500
111,[],[],평균,[],2000,05/23,400
112,[],[],평균,[],2000,05/24,400
113,[],[],평균,[],2000,05/25,400
114,[],[],평균,[],2000,05/26,400
115,[],[],평균,[],2000,05/27,400
116,[],[],평균,[],2000,05/29,400
117,[],[],평균,[],2000,05/30,350
118,[],[],평균,[],2000,05/31,350
119,[],[],평균,[],2000,06/01,350
120,[],[],평균,[],2000,06/02,350
121,[],[],평균,[],2000,06/03,350
122,[],[],평균,[],2000,06/05,350
123,[],[],평균,[],2000,06/07,350
124,[],[],평균,[],2000,06/08,350
125,[],[],평균,[],2000,06/09,300
126,[],[],평균,[],2000,06/10,300
127,[],[],평균,[],2000,06/12,300
128,[],[],평균,[],2000,06/13,300
129,[],[],평균,[],2000,06/14,250
130,[],[],평균,[],2000,06/15,250
131,[],[],평균,[],2000,06/16,250
132,[],[],평균,[],2000,06/17,250
133,[],[],평균,[],2000,06/19,250
134,[],[],평균,[],2000,06/20,250
135,[],[],평균,[],2000,06/21,250
136,[],[],평균,[],2000,06/22,250
137,[],[],평균,[],2000,06/23,300
138,[],[],평균,[],2000,06/24,300
139,[],[],평균,[],2000,06/26,300
140,[],[],평균,[],2000,06/27,300
141,[],[],평균,[],2000,06/28,300
142,[],[],평균,[],2000,06/29,300
143,[],[],평균,[],2000,06/30,300
144,[],[],평균,[],2000,07/01,300
145,[],[],평균,[],2000,07/03,300
