,itemname,kindname,countyname,marketname,yyyy,regday,price
0,[],[],평균,[],2000,01/03,800
1,[],[],평균,[],2000,01/04,800
2,[],[],평균,[],2000,01/05,800
3,[],[],평균,[],2000,01/06,800
4,[],[],평균,[],2000,01/07,800
5,[],[],평균,[],2000,01/08,800
6,[],[],평균,[],2000,01/10,800
7,[],[],평균,[],2000,01/11,800
8,[],[],평균,[],2000,01/12,800
9,[],[],평균,[],2000,01/13,700
10,[],[],평균,[],2000,01/14,700
11,[],[],평균,[],2000,01/15,700
12,[],[],평균,[],2000,01/17,700
13,[],[],평균,[],2000,01/18,700
14,[],[],평균,[],2000,01/19,700
15,[],[],평균,[],2000,01/20,700
16,[],[],평균,[],2000,01/21,700
17,[],[],평균,[],2000,01/22,700
18,[],[],평균,[],2000,01/24,700
19,[],[],평균,[],2000,01/25,700
20,[],[],평균,[],2000,01/26,700
21,[],[],평균,[],2000,01/27,700
22,[],[],평균,[],2000,01/28,700
23,[],[],평균,[],2000,01/29,700
24,[],[],평균,[],2000,01/31,700
25,[],[],평균,[],2000,02/01,700
26,[],[],평균,[],2000,02/02,700
27,[],[],평균,[],2000,02/03,700
28,[],[],평균,[],2000,02/07,700
29,[],[],평균,[],2000,02/08,700
30,[],[],평균,[],2000,02/09,700
31,[],[],평균,[],2000,02/10,700
32,[],[],평균,[],2000,02/11,700
33,[],[],평균,[],2000,02/12,700
34,[],[],평균,[],2000,02/14,700
35,[],[],평균,[],2000,02/15,700
36,[],[],평균,[],2000,02/16,700
37,[],[],평균,[],2000,02/17,600
38,[],[],평균,[],2000,02/18,600
39,[],[],평균,[],2000,02/19,600
40,[],[],평균,[],2000,02/21,600
41,[],[],평균,[],2000,02/22,600
42,[],[],평균,[],2000,02/23,600
43,[],[],평균,[],2000,02/24,600
44,[],[],평균,[],2000,02/25,600
45,[],[],평균,[],2000,02/26,600
46,[],[],평균,[],2000,02/28,600
47,[],[],평균,[],2000,02/29,600
48,[],[],평균,[],2000,03/02,600
49,[],[],평균,[],2000,03/03,600
50,[],[],평균,[],2000,03/04,600
51,[],[],평균,[],2000,03/06,600
52,[],[],평균,[],2000,03/07,600
53,[],[],평균,[],2000,03/08,600
54,[],[],평균,[],2000,03/09,600
55,[],[],평균,[],2000,03/10,600
56,[],[],평균,[],2000,03/11,600
57,[],[],평균,[],2000,03/13,600
58,[],[],평균,[],2000,03/14,600
59,[],[],평균,[],2000,03/15,600
60,[],[],평균,[],2000,03/16,600
61,[],[],평균,[],2000,03/17,600
62,[],[],평균,[],2000,03/18,600
63,[],[],평균,[],2000,03/20,600
64,[],[],평균,[],2000,03/21,600
65,[],[],평균,[],2000,03/22,600
66,[],[],평균,[],2000,03/23,600
67,[],[],평균,[],2000,03/24,600
68,[],[],평균,[],2000,03/25,600
69,[],[],평균,[],2000,03/27,600
70,[],[],평균,[],2000,03/28,600
71,[],[],평균,[],2000,03/29,600
72,[],[],평균,[],2000,03/30,600
73,[],[],평균,[],2000,03/31,600
74,[],[],평균,[],2000,04/01,550
75,[],[],평균,[],2000,04/03,550
76,[],[],평균,[],2000,04/04,550
77,[],[],평균,[],2000,04/06,550
78,[],[],평균,[],2000,04/07,500
79,[],[],평균,[],2000,04/08,500
80,[],[],평균,[],2000,04/10,500
81,[],[],평균,[],2000,04/11,500
82,[],[],평균,[],2000,04/12,450
