,itemname,kindname,countyname,marketname,yyyy,regday,price
0,[],[],평균,[],2000,01/03,900
1,[],[],평균,[],2000,01/04,700
2,[],[],평균,[],2000,01/05,600
3,[],[],평균,[],2000,01/06,700
4,[],[],평균,[],2000,01/07,700
5,[],[],평균,[],2000,01/08,700
6,[],[],평균,[],2000,01/10,700
7,[],[],평균,[],2000,01/11,700
8,[],[],평균,[],2000,01/12,700
9,[],[],평균,[],2000,01/13,700
10,[],[],평균,[],2000,01/14,700
11,[],[],평균,[],2000,01/15,700
12,[],[],평균,[],2000,01/17,700
13,[],[],평균,[],2000,01/18,700
14,[],[],평균,[],2000,01/19,700
15,[],[],평균,[],2000,01/20,700
16,[],[],평균,[],2000,01/21,700
17,[],[],평균,[],2000,01/22,700
18,[],[],평균,[],2000,01/24,700
19,[],[],평균,[],2000,01/25,600
20,[],[],평균,[],2000,01/26,600
21,[],[],평균,[],2000,01/27,600
22,[],[],평균,[],2000,01/28,600
23,[],[],평균,[],2000,01/29,600
24,[],[],평균,[],2000,01/31,600
25,[],[],평균,[],2000,02/01,600
26,[],[],평균,[],2000,02/02,600
27,[],[],평균,[],2000,02/03,600
28,[],[],평균,[],2000,02/07,600
29,[],[],평균,[],2000,02/08,600
30,[],[],평균,[],2000,02/09,600
31,[],[],평균,[],2000,02/10,700
32,[],[],평균,[],2000,02/11,700
33,[],[],평균,[],2000,02/12,700
34,[],[],평균,[],2000,02/14,700
35,[],[],평균,[],2000,02/15,700
36,[],[],평균,[],2000,02/16,600
37,[],[],평균,[],2000,02/17,500
38,[],[],평균,[],2000,02/18,500
39,[],[],평균,[],2000,02/19,500
40,[],[],평균,[],2000,02/21,500
41,[],[],평균,[],2000,02/22,500
42,[],[],평균,[],2000,02/23,600
43,[],[],평균,[],2000,02/24,600
44,[],[],평균,[],2000,02/25,600
45,[],[],평균,[],2000,02/26,600
46,[],[],평균,[],2000,02/28,600
47,[],[],평균,[],2000,02/29,600
48,[],[],평균,[],2000,03/02,600
49,[],[],평균,[],2000,03/03,600
50,[],[],평균,[],2000,03/04,600
51,[],[],평균,[],2000,03/06,600
52,[],[],평균,[],2000,03/07,600
53,[],[],평균,[],2000,03/08,600
54,[],[],평균,[],2000,03/09,600
55,[],[],평균,[],2000,03/10,600
56,[],[],평균,[],2000,03/11,600
57,[],[],평균,[],2000,03/13,600
58,[],[],평균,[],2000,03/14,600
59,[],[],평균,[],2000,03/15,600
60,[],[],평균,[],2000,03/16,600
61,[],[],평균,[],2000,03/17,600
