,itemname,kindname,countyname,marketname,yyyy,regday,price
0,[],[],평균,[],2000,01/03,"1,000"
1,[],[],평균,[],2000,01/04,900
2,[],[],평균,[],2000,01/05,900
3,[],[],평균,[],2000,01/06,900
4,[],[],평균,[],2000,01/07,900
5,[],[],평균,[],2000,01/08,850
6,[],[],평균,[],2000,01/10,850
7,[],[],평균,[],2000,01/11,800
8,[],[],평균,[],2000,01/12,800
9,[],[],평균,[],2000,01/13,800
10,[],[],평균,[],2000,01/14,800
11,[],[],평균,[],2000,01/15,800
12,[],[],평균,[],2000,01/17,750
13,[],[],평균,[],2000,01/18,750
14,[],[],평균,[],2000,01/19,750
15,[],[],평균,[],2000,01/20,800
16,[],[],평균,[],2000,01/21,850
17,[],[],평균,[],2000,01/22,850
18,[],[],평균,[],2000,01/24,850
19,[],[],평균,[],2000,01/25,800
20,[],[],평균,[],2000,01/26,850
21,[],[],평균,[],2000,01/27,900
22,[],[],평균,[],2000,01/28,950
23,[],[],평균,[],2000,01/29,"1,000"
24,[],[],평균,[],2000,01/31,"1,050"
25,[],[],평균,[],2000,02/01,"1,000"
26,[],[],평균,[],2000,02/02,950
27,[],[],평균,[],2000,02/03,900
28,[],[],평균,[],2000,02/07,900
29,[],[],평균,[],2000,02/08,950
30,[],[],평균,[],2000,02/09,950
31,[],[],평균,[],2000,02/10,900
32,[],[],평균,[],2000,02/11,900
33,[],[],평균,[],2000,02/12,900
34,[],[],평균,[],2000,02/14,900
35,[],[],평균,[],2000,02/15,850
36,[],[],평균,[],2000,02/16,850
37,[],[],평균,[],2000,02/17,850
38,[],[],평균,[],2000,02/18,800
39,[],[],평균,[],2000,02/19,800
40,[],[],평균,[],2000,02/21,800
41,[],[],평균,[],2000,02/22,900
42,[],[],평균,[],2000,02/23,850
43,[],[],평균,[],2000,02/24,800
44,[],[],평균,[],2000,02/25,850
45,[],[],평균,[],2000,02/26,800
46,[],[],평균,[],2000,02/28,900
47,[],[],평균,[],2000,02/29,950
48,[],[],평균,[],2000,03/02,"1,000"
49,[],[],평균,[],2000,03/03,950
50,[],[],평균,[],2000,03/04,900
51,[],[],평균,[],2000,03/06,900
52,[],[],평균,[],2000,03/07,900
53,[],[],평균,[],2000,03/08,900
54,[],[],평균,[],2000,03/09,950
55,[],[],평균,[],2000,03/10,"1,000"
56,[],[],평균,[],2000,03/11,900
57,[],[],평균,[],2000,03/13,950
58,[],[],평균,[],2000,03/14,850
59,[],[],평균,[],2000,03/15,850
60,[],[],평균,[],2000,03/16,800
61,[],[],평균,[],2000,03/17,900
62,[],[],평균,[],2000,03/18,900
63,[],[],평균,[],2000,03/20,900
64,[],[],평균,[],2000,03/21,850
65,[],[],평균,[],2000,03/22,850
66,[],[],평균,[],2000,03/23,800
67,[],[],평균,[],2000,03/24,800
68,[],[],평균,[],2000,03/25,800
69,[],[],평균,[],2000,03/27,850
70,[],[],평균,[],2000,03/28,900
71,[],[],평균,[],2000,03/29,800
72,[],[],평균,[],2000,03/30,800
73,[],[],평균,[],2000,03/31,800
74,[],[],평균,[],2000,04/01,800
75,[],[],평균,[],2000,04/03,800
76,[],[],평균,[],2000,04/04,750
77,[],[],평균,[],2000,04/06,650
78,[],[],평균,[],2000,04/07,600
79,[],[],평균,[],2000,04/08,600
80,[],[],평균,[],2000,04/10,650
81,[],[],평균,[],2000,04/11,650
82,[],[],평균,[],2000,04/12,600
83,[],[],평균,[],2000,04/14,550
84,[],[],평균,[],2000,04/15,550
85,[],[],평균,[],2000,04/17,550
86,[],[],평균,[],2000,04/18,500
87,[],[],평균,[],2000,04/19,500
88,[],[],평균,[],2000,04/20,500
89,[],[],평균,[],2000,04/21,500
90,[],[],평균,[],2000,04/22,500
91,[],[],평균,[],2000,04/24,450
92,[],[],평균,[],2000,04/25,400
93,[],[],평균,[],2000,04/26,400
94,[],[],평균,[],2000,04/27,400
95,[],[],평균,[],2000,04/28,400
96,[],[],평균,[],2000,04/29,400
97,[],[],평균,[],2000,05/02,400
98,[],[],평균,[],2000,05/03,430
99,[],[],평균,[],2000,05/04,450
100,[],[],평균,[],2000,05/06,400
101,[],[],평균,[],2000,05/08,400
102,[],[],평균,[],2000,05/09,400
103,[],[],평균,[],2000,05/10,600
104,[],[],평균,[],2000,05/12,600
105,[],[],평균,[],2000,05/13,600
106,[],[],평균,[],2000,05/15,700
107,[],[],평균,[],2000,05/16,600
108,[],[],평균,[],2000,05/17,500
109,[],[],평균,[],2000,05/18,500
110,[],[],평균,[],2000,05/19,500
111,[],[],평균,[],2000,05/20,500
112,[],[],평균,[],2000,05/22,500
113,[],[],평균,[],2000,05/23,500
114,[],[],평균,[],2000,05/24,500
115,[],[],평균,[],2000,05/25,500
116,[],[],평균,[],2000,05/26,550
117,[],[],평균,[],2000,05/27,550
118,[],[],평균,[],2000,05/29,600
119,[],[],평균,[],2000,05/30,700
120,[],[],평균,[],2000,05/31,800
121,[],[],평균,[],2000,06/01,700
122,[],[],평균,[],2000,06/02,800
123,[],[],평균,[],2000,06/03,850
124,[],[],평균,[],2000,06/05,700
125,[],[],평균,[],2000,06/07,700
126,[],[],평균,[],2000,06/08,650
127,[],[],평균,[],2000,06/09,600
128,[],[],평균,[],2000,06/10,800
129,[],[],평균,[],2000,06/12,900
130,[],[],평균,[],2000,06/13,800
131,[],[],평균,[],2000,06/14,700
132,[],[],평균,[],2000,06/15,700
133,[],[],평균,[],2000,06/16,700
134,[],[],평균,[],2000,06/17,800
135,[],[],평균,[],2000,06/19,800
136,[],[],평균,[],2000,06/20,700
137,[],[],평균,[],2000,06/21,700
138,[],[],평균,[],2000,06/22,800
139,[],[],평균,[],2000,06/23,"1,200"
140,[],[],평균,[],2000,06/24,900
141,[],[],평균,[],2000,06/26,900
142,[],[],평균,[],2000,06/27,900
143,[],[],평균,[],2000,06/28,800
144,[],[],평균,[],2000,06/29,800
145,[],[],평균,[],2000,06/30,750
146,[],[],평균,[],2000,07/01,700
147,[],[],평균,[],2000,07/03,700
148,[],[],평균,[],2000,07/04,700
149,[],[],평균,[],2000,07/05,600
150,[],[],평균,[],2000,07/06,650
151,[],[],평균,[],2000,07/07,700
152,[],[],평균,[],2000,07/08,900
153,[],[],평균,[],2000,07/10,800
154,[],[],평균,[],2000,07/11,700
155,[],[],평균,[],2000,07/12,650
156,[],[],평균,[],2000,07/13,600
157,[],[],평균,[],2000,07/14,600
158,[],[],평균,[],2000,07/15,600
159,[],[],평균,[],2000,07/18,650
160,[],[],평균,[],2000,07/19,800
161,[],[],평균,[],2000,07/21,700
162,[],[],평균,[],2000,07/22,600
163,[],[],평균,[],2000,07/24,800
164,[],[],평균,[],2000,07/25,700
165,[],[],평균,[],2000,07/26,800
166,[],[],평균,[],2000,07/27,750
167,[],[],평균,[],2000,07/28,700
168,[],[],평균,[],2000,07/29,900
169,[],[],평균,[],2000,07/31,800
170,[],[],평균,[],2000,08/01,900
171,[],[],평균,[],2000,08/02,700
172,[],[],평균,[],2000,08/03,600
173,[],[],평균,[],2000,08/04,600
174,[],[],평균,[],2000,08/05,800
175,[],[],평균,[],2000,08/07,900
176,[],[],평균,[],2000,08/08,800
177,[],[],평균,[],2000,08/09,700
178,[],[],평균,[],2000,08/10,900
179,[],[],평균,[],2000,08/11,800
180,[],[],평균,[],2000,08/12,600
181,[],[],평균,[],2000,08/14,600
182,[],[],평균,[],2000,08/16,700
183,[],[],평균,[],2000,08/17,700
184,[],[],평균,[],2000,08/18,700
185,[],[],평균,[],2000,08/19,800
186,[],[],평균,[],2000,08/21,800
187,[],[],평균,[],2000,08/22,800
188,[],[],평균,[],2000,08/23,900
189,[],[],평균,[],2000,08/24,900
190,[],[],평균,[],2000,08/25,900
191,[],[],평균,[],2000,08/26,900
