,itemname,kindname,countyname,marketname,yyyy,regday,price
0,[],[],평균,[],2000,01/03,800
1,[],[],평균,[],2000,01/04,800
2,[],[],평균,[],2000,01/05,800
3,[],[],평균,[],2000,01/06,800
4,[],[],평균,[],2000,01/07,800
5,[],[],평균,[],2000,01/08,800
6,[],[],평균,[],2000,01/10,800
7,[],[],평균,[],2000,01/11,800
8,[],[],평균,[],2000,01/12,800
9,[],[],평균,[],2000,01/13,700
10,[],[],평균,[],2000,01/14,700
11,[],[],평균,[],2000,01/15,700
12,[],[],평균,[],2000,01/17,700
13,[],[],평균,[],2000,01/18,700
14,[],[],평균,[],2000,01/19,700
15,[],[],평균,[],2000,01/20,700
16,[],[],평균,[],2000,01/21,700
17,[],[],평균,[],2000,01/22,700
18,[],[],평균,[],2000,01/24,700
19,[],[],평균,[],2000,01/25,700
20,[],[],평균,[],2000,01/26,700
21,[],[],평균,[],2000,01/27,700
22,[],[],평균,[],2000,01/28,700
23,[],[],평균,[],2000,01/29,700
24,[],[],평균,[],2000,01/31,700
25,[],[],평균,[],2000,02/01,700
26,[],[],평균,[],2000,02/02,700
27,[],[],평균,[],2000,02/03,700
28,[],[],평균,[],2000,02/07,700
29,[],[],평균,[],2000,02/08,700
30,[],[],평균,[],2000,02/09,700
31,[],[],평균,[],2000,02/10,700
32,[],[],평균,[],2000,02/11,700
33,[],[],평균,[],2000,02/12,700
34,[],[],평균,[],2000,02/14,700
35,[],[],평균,[],2000,02/15,700
36,[],[],평균,[],2000,02/16,700
37,[],[],평균,[],2000,02/17,700
38,[],[],평균,[],2000,02/18,700
39,[],[],평균,[],2000,02/19,700
40,[],[],평균,[],2000,02/21,700
41,[],[],평균,[],2000,02/22,700
42,[],[],평균,[],2000,02/23,700
43,[],[],평균,[],2000,02/24,700
44,[],[],평균,[],2000,02/25,700
45,[],[],평균,[],2000,02/26,700
46,[],[],평균,[],2000,02/28,700
47,[],[],평균,[],2000,02/29,700
48,[],[],평균,[],2000,03/02,700
49,[],[],평균,[],2000,03/03,700
50,[],[],평균,[],2000,03/04,700
51,[],[],평균,[],2000,03/06,700
52,[],[],평균,[],2000,03/07,700
53,[],[],평균,[],2000,03/08,700
54,[],[],평균,[],2000,03/09,700
55,[],[],평균,[],2000,03/10,700
56,[],[],평균,[],2000,03/11,700
57,[],[],평균,[],2000,03/13,700
58,[],[],평균,[],2000,03/14,700
59,[],[],평균,[],2000,03/15,700
60,[],[],평균,[],2000,03/16,700
61,[],[],평균,[],2000,03/17,700
62,[],[],평균,[],2000,03/18,700
63,[],[],평균,[],2000,03/20,700
64,[],[],평균,[],2000,03/21,700
65,[],[],평균,[],2000,03/22,700
66,[],[],평균,[],2000,03/23,700
67,[],[],평균,[],2000,03/24,700
68,[],[],평균,[],2000,03/25,700
69,[],[],평균,[],2000,03/27,700
70,[],[],평균,[],2000,03/28,650
71,[],[],평균,[],2000,03/29,650
72,[],[],평균,[],2000,03/30,650
73,[],[],평균,[],2000,03/31,650
74,[],[],평균,[],2000,04/01,650
75,[],[],평균,[],2000,04/03,650
76,[],[],평균,[],2000,04/04,650
77,[],[],평균,[],2000,04/06,650
78,[],[],평균,[],2000,04/07,650
79,[],[],평균,[],2000,04/08,650
80,[],[],평균,[],2000,04/10,600
81,[],[],평균,[],2000,04/11,550
82,[],[],평균,[],2000,04/12,550
