,itemname,kindname,countyname,marketname,yyyy,regday,price
0,[],[],평균,[],2000,01/03,"1,300"
1,[],[],평균,[],2000,01/04,"1,300"
2,[],[],평균,[],2000,01/05,"1,300"
3,[],[],평균,[],2000,01/06,"1,200"
4,[],[],평균,[],2000,01/07,"1,200"
5,[],[],평균,[],2000,01/08,"1,200"
6,[],[],평균,[],2000,01/10,"1,200"
7,[],[],평균,[],2000,01/11,"1,200"
8,[],[],평균,[],2000,01/12,"1,200"
9,[],[],평균,[],2000,01/13,"1,200"
10,[],[],평균,[],2000,01/14,"1,200"
11,[],[],평균,[],2000,01/15,"1,150"
12,[],[],평균,[],2000,01/17,"1,150"
13,[],[],평균,[],2000,01/18,"1,150"
14,[],[],평균,[],2000,01/19,"1,150"
15,[],[],평균,[],2000,01/20,"1,150"
16,[],[],평균,[],2000,01/21,"1,150"
17,[],[],평균,[],2000,01/22,"1,150"
18,[],[],평균,[],2000,01/24,"1,150"
19,[],[],평균,[],2000,01/25,"1,150"
20,[],[],평균,[],2000,01/26,"1,150"
21,[],[],평균,[],2000,01/27,"1,100"
22,[],[],평균,[],2000,01/28,"1,100"
23,[],[],평균,[],2000,01/29,"1,100"
24,[],[],평균,[],2000,01/31,"1,100"
25,[],[],평균,[],2000,02/01,"1,100"
26,[],[],평균,[],2000,02/02,"1,100"
27,[],[],평균,[],2000,02/03,"1,100"
28,[],[],평균,[],2000,02/07,"1,100"
29,[],[],평균,[],2000,02/08,"1,100"
30,[],[],평균,[],2000,02/09,"1,100"
31,[],[],평균,[],2000,02/10,"1,100"
32,[],[],평균,[],2000,02/11,"1,100"
33,[],[],평균,[],2000,02/12,"1,100"
34,[],[],평균,[],2000,02/14,"1,100"
35,[],[],평균,[],2000,02/15,"1,100"
36,[],[],평균,[],2000,02/16,"1,100"
37,[],[],평균,[],2000,02/17,"1,100"
38,[],[],평균,[],2000,02/18,"1,000"
39,[],[],평균,[],2000,02/19,"1,000"
40,[],[],평균,[],2000,02/21,"1,000"
41,[],[],평균,[],2000,02/22,"1,000"
42,[],[],평균,[],2000,02/23,"1,000"
43,[],[],평균,[],2000,02/24,"1,000"
44,[],[],평균,[],2000,02/25,"1,000"
45,[],[],평균,[],2000,02/26,"1,000"
46,[],[],평균,[],2000,02/28,"1,000"
47,[],[],평균,[],2000,02/29,"1,050"
48,[],[],평균,[],2000,03/02,"1,050"
49,[],[],평균,[],2000,03/03,"1,050"
50,[],[],평균,[],2000,03/04,"1,050"
51,[],[],평균,[],2000,03/06,"1,050"
52,[],[],평균,[],2000,03/07,"1,050"
53,[],[],평균,[],2000,03/08,"1,000"
54,[],[],평균,[],2000,03/09,"1,000"
55,[],[],평균,[],2000,03/10,"1,000"
56,[],[],평균,[],2000,03/11,"1,000"
57,[],[],평균,[],2000,03/13,"1,000"
58,[],[],평균,[],2000,03/14,"1,000"
59,[],[],평균,[],2000,03/15,"1,000"
60,[],[],평균,[],2000,03/16,"1,000"
61,[],[],평균,[],2000,03/17,"1,000"
62,[],[],평균,[],2000,03/18,"1,000"
