,itemname,kindname,countyname,marketname,yyyy,regday,price
0,[],[],평균,[],2000,01/03,"1,100"
1,[],[],평균,[],2000,01/04,"1,100"
2,[],[],평균,[],2000,01/05,"1,100"
3,[],[],평균,[],2000,01/06,"1,100"
4,[],[],평균,[],2000,01/07,"1,100"
5,[],[],평균,[],2000,01/08,"1,100"
6,[],[],평균,[],2000,01/10,"1,100"
7,[],[],평균,[],2000,01/11,"1,100"
8,[],[],평균,[],2000,01/12,"1,100"
9,[],[],평균,[],2000,01/13,"1,100"
10,[],[],평균,[],2000,01/14,"1,100"
11,[],[],평균,[],2000,01/15,"1,100"
12,[],[],평균,[],2000,01/17,"1,100"
13,[],[],평균,[],2000,01/18,"1,100"
14,[],[],평균,[],2000,01/19,"1,100"
15,[],[],평균,[],2000,01/20,"1,100"
16,[],[],평균,[],2000,01/21,"1,100"
17,[],[],평균,[],2000,01/22,"1,100"
18,[],[],평균,[],2000,01/24,"1,100"
19,[],[],평균,[],2000,01/25,"1,000"
20,[],[],평균,[],2000,01/26,"1,000"
21,[],[],평균,[],2000,01/27,"1,000"
22,[],[],평균,[],2000,01/28,"1,000"
23,[],[],평균,[],2000,01/29,"1,000"
24,[],[],평균,[],2000,01/31,"1,000"
25,[],[],평균,[],2000,02/01,"1,000"
26,[],[],평균,[],2000,02/02,"1,000"
27,[],[],평균,[],2000,02/03,"1,000"
28,[],[],평균,[],2000,02/07,"1,000"
29,[],[],평균,[],2000,02/08,"1,000"
30,[],[],평균,[],2000,02/09,"1,000"
31,[],[],평균,[],2000,02/10,"1,000"
32,[],[],평균,[],2000,02/11,"1,000"
33,[],[],평균,[],2000,02/12,"1,000"
34,[],[],평균,[],2000,02/14,"1,000"
35,[],[],평균,[],2000,02/15,"1,000"
36,[],[],평균,[],2000,02/16,"1,000"
37,[],[],평균,[],2000,02/17,"1,000"
38,[],[],평균,[],2000,02/18,"1,000"
39,[],[],평균,[],2000,02/19,"1,000"
40,[],[],평균,[],2000,02/21,"1,000"
41,[],[],평균,[],2000,02/22,"1,000"
42,[],[],평균,[],2000,02/23,"1,000"
43,[],[],평균,[],2000,02/24,"1,000"
44,[],[],평균,[],2000,02/25,"1,000"
45,[],[],평균,[],2000,02/26,"1,000"
46,[],[],평균,[],2000,02/28,"1,000"
47,[],[],평균,[],2000,02/29,"1,000"
48,[],[],평균,[],2000,03/02,"1,000"
49,[],[],평균,[],2000,03/03,"1,000"
50,[],[],평균,[],2000,03/04,"1,000"
51,[],[],평균,[],2000,03/06,"1,000"
52,[],[],평균,[],2000,03/07,900
53,[],[],평균,[],2000,03/08,900
54,[],[],평균,[],2000,03/09,900
55,[],[],평균,[],2000,03/10,900
56,[],[],평균,[],2000,03/11,900
57,[],[],평균,[],2000,03/13,900
58,[],[],평균,[],2000,03/14,900
59,[],[],평균,[],2000,03/15,900
60,[],[],평균,[],2000,03/16,900
61,[],[],평균,[],2000,03/17,900
62,[],[],평균,[],2000,03/18,900
63,[],[],평균,[],2000,03/20,900
64,[],[],평균,[],2000,03/21,900
65,[],[],평균,[],2000,03/22,900
66,[],[],평균,[],2000,03/23,900
67,[],[],평균,[],2000,03/24,900
68,[],[],평균,[],2000,03/25,900
69,[],[],평균,[],2000,03/27,900
70,[],[],평균,[],2000,03/28,900
71,[],[],평균,[],2000,03/29,900
72,[],[],평균,[],2000,03/30,900
73,[],[],평균,[],2000,03/31,900
74,[],[],평균,[],2000,04/01,900
75,[],[],평균,[],2000,04/03,900
76,[],[],평균,[],2000,04/04,900
77,[],[],평균,[],2000,04/06,900
78,[],[],평균,[],2000,04/07,900
79,[],[],평균,[],2000,04/08,900
80,[],[],평균,[],2000,04/10,900
81,[],[],평균,[],2000,04/11,900
82,[],[],평균,[],2000,04/12,900
83,[],[],평균,[],2000,04/14,900
84,[],[],평균,[],2000,04/15,900
85,[],[],평균,[],2000,04/17,900
86,[],[],평균,[],2000,04/18,900
87,[],[],평균,[],2000,04/19,900
88,[],[],평균,[],2000,04/20,900
89,[],[],평균,[],2000,04/21,900
90,[],[],평균,[],2000,04/22,900
91,[],[],평균,[],2000,04/24,900
92,[],[],평균,[],2000,04/25,800
93,[],[],평균,[],2000,04/26,800
94,[],[],평균,[],2000,04/27,800
95,[],[],평균,[],2000,04/28,800
96,[],[],평균,[],2000,04/29,800
97,[],[],평균,[],2000,05/02,800
98,[],[],평균,[],2000,05/03,800
99,[],[],평균,[],2000,05/04,800
100,[],[],평균,[],2000,05/06,800
101,[],[],평균,[],2000,05/08,800
102,[],[],평균,[],2000,05/09,800
103,[],[],평균,[],2000,05/10,800
104,[],[],평균,[],2000,05/12,800
105,[],[],평균,[],2000,05/13,800
106,[],[],평균,[],2000,05/15,800
107,[],[],평균,[],2000,05/16,800
108,[],[],평균,[],2000,05/17,800
109,[],[],평균,[],2000,05/18,800
110,[],[],평균,[],2000,05/19,800
111,[],[],평균,[],2000,05/20,800
112,[],[],평균,[],2000,05/22,800
113,[],[],평균,[],2000,05/23,800
114,[],[],평균,[],2000,05/24,800
115,[],[],평균,[],2000,05/25,800
116,[],[],평균,[],2000,05/26,800
117,[],[],평균,[],2000,05/27,800
118,[],[],평균,[],2000,05/29,800
119,[],[],평균,[],2000,05/30,800
120,[],[],평균,[],2000,05/31,800
121,[],[],평균,[],2000,06/01,850
122,[],[],평균,[],2000,06/02,850
123,[],[],평균,[],2000,06/03,850
124,[],[],평균,[],2000,06/05,850
125,[],[],평균,[],2000,06/07,850
126,[],[],평균,[],2000,06/08,900
127,[],[],평균,[],2000,06/09,900
128,[],[],평균,[],2000,06/10,900
129,[],[],평균,[],2000,06/12,900
130,[],[],평균,[],2000,06/13,900
131,[],[],평균,[],2000,06/14,900
132,[],[],평균,[],2000,06/15,900
133,[],[],평균,[],2000,06/16,900
134,[],[],평균,[],2000,06/17,900
135,[],[],평균,[],2000,06/19,900
136,[],[],평균,[],2000,06/20,900
137,[],[],평균,[],2000,06/21,900
138,[],[],평균,[],2000,06/22,900
139,[],[],평균,[],2000,06/23,900
140,[],[],평균,[],2000,06/24,"1,000"
141,[],[],평균,[],2000,06/26,"1,000"
142,[],[],평균,[],2000,06/27,"1,000"
