,itemname,kindname,countyname,marketname,yyyy,regday,price
0,[],[],평균,[],2001,01/02,"1,100"
1,[],[],평균,[],2001,01/03,"1,150"
2,[],[],평균,[],2001,01/04,"1,150"
3,[],[],평균,[],2001,01/05,"1,200"
4,[],[],평균,[],2001,01/06,"1,200"
5,[],[],평균,[],2001,01/08,"1,200"
6,[],[],평균,[],2001,01/09,"1,100"
7,[],[],평균,[],2001,01/10,"1,100"
8,[],[],평균,[],2001,01/11,"1,100"
9,[],[],평균,[],2001,01/12,"1,100"
10,[],[],평균,[],2001,01/13,"1,100"
11,[],[],평균,[],2001,01/15,"1,150"
12,[],[],평균,[],2001,01/16,"1,300"
13,[],[],평균,[],2001,01/17,"1,300"
14,[],[],평균,[],2001,01/18,"1,300"
15,[],[],평균,[],2001,01/19,"1,400"
16,[],[],평균,[],2001,01/20,"1,500"
17,[],[],평균,[],2001,01/22,"1,500"
18,[],[],평균,[],2001,01/26,"1,500"
19,[],[],평균,[],2001,01/27,"1,500"
20,[],[],평균,[],2001,01/29,"1,400"
21,[],[],평균,[],2001,01/30,"1,200"
22,[],[],평균,[],2001,01/31,"1,150"
23,[],[],평균,[],2001,02/01,"1,000"
24,[],[],평균,[],2001,02/02,950
25,[],[],평균,[],2001,02/03,900
26,[],[],평균,[],2001,02/05,900
27,[],[],평균,[],2001,02/06,900
28,[],[],평균,[],2001,02/07,900
29,[],[],평균,[],2001,02/08,900
30,[],[],평균,[],2001,02/09,750
31,[],[],평균,[],2001,02/10,750
32,[],[],평균,[],2001,02/12,750
33,[],[],평균,[],2001,02/13,750
34,[],[],평균,[],2001,02/14,750
35,[],[],평균,[],2001,02/15,750
36,[],[],평균,[],2001,02/16,750
37,[],[],평균,[],2001,02/17,750
38,[],[],평균,[],2001,02/19,850
39,[],[],평균,[],2001,02/20,850
40,[],[],평균,[],2001,02/21,850
41,[],[],평균,[],2001,02/22,850
42,[],[],평균,[],2001,02/23,850
43,[],[],평균,[],2001,02/24,850
44,[],[],평균,[],2001,02/26,850
45,[],[],평균,[],2001,02/27,800
46,[],[],평균,[],2001,02/28,800
47,[],[],평균,[],2001,03/02,850
48,[],[],평균,[],2001,03/03,850
49,[],[],평균,[],2001,03/05,950
50,[],[],평균,[],2001,03/06,950
51,[],[],평균,[],2001,03/07,950
52,[],[],평균,[],2001,03/08,950
53,[],[],평균,[],2001,03/09,950
54,[],[],평균,[],2001,03/10,950
55,[],[],평균,[],2001,03/12,850
56,[],[],평균,[],2001,03/13,800
57,[],[],평균,[],2001,03/14,800
58,[],[],평균,[],2001,03/15,800
59,[],[],평균,[],2001,03/16,800
60,[],[],평균,[],2001,03/17,800
61,[],[],평균,[],2001,03/19,800
62,[],[],평균,[],2001,03/20,750
63,[],[],평균,[],2001,03/21,750
64,[],[],평균,[],2001,03/22,650
65,[],[],평균,[],2001,03/23,650
66,[],[],평균,[],2001,03/24,650
67,[],[],평균,[],2001,03/26,650
68,[],[],평균,[],2001,03/27,650
69,[],[],평균,[],2001,03/28,650
70,[],[],평균,[],2001,03/29,650
71,[],[],평균,[],2001,03/30,650
72,[],[],평균,[],2001,03/31,650
73,[],[],평균,[],2001,04/02,650
74,[],[],평균,[],2001,04/03,650
75,[],[],평균,[],2001,04/04,650
76,[],[],평균,[],2001,04/06,725
77,[],[],평균,[],2001,04/07,725
78,[],[],평균,[],2001,04/09,725
79,[],[],평균,[],2001,04/10,725
80,[],[],평균,[],2001,04/11,725
81,[],[],평균,[],2001,04/12,725
82,[],[],평균,[],2001,04/13,650
83,[],[],평균,[],2001,04/14,650
84,[],[],평균,[],2001,04/16,650
85,[],[],평균,[],2001,04/17,650
86,[],[],평균,[],2001,04/18,650
87,[],[],평균,[],2001,04/19,650
88,[],[],평균,[],2001,04/20,650
89,[],[],평균,[],2001,04/21,650
90,[],[],평균,[],2001,04/23,650
91,[],[],평균,[],2001,04/24,650
92,[],[],평균,[],2001,04/25,650
93,[],[],평균,[],2001,04/26,650
94,[],[],평균,[],2001,04/27,650
95,[],[],평균,[],2001,04/28,650
96,[],[],평균,[],2001,04/30,650
97,[],[],평균,[],2001,05/02,650
98,[],[],평균,[],2001,05/03,700
99,[],[],평균,[],2001,05/04,700
100,[],[],평균,[],2001,05/07,700
101,[],[],평균,[],2001,05/08,700
102,[],[],평균,[],2001,05/09,700
103,[],[],평균,[],2001,05/10,700
104,[],[],평균,[],2001,05/12,700
105,[],[],평균,[],2001,05/14,700
106,[],[],평균,[],2001,05/15,700
