,itemname,kindname,countyname,marketname,yyyy,regday,price
0,[],[],평균,[],2004,01/02,"1,200"
1,[],[],평균,[],2004,01/03,"1,200"
2,[],[],평균,[],2004,01/05,"1,200"
3,[],[],평균,[],2004,01/06,"1,200"
4,[],[],평균,[],2004,01/07,"1,200"
5,[],[],평균,[],2004,01/08,"1,200"
6,[],[],평균,[],2004,01/09,"1,100"
7,[],[],평균,[],2004,01/10,"1,100"
8,[],[],평균,[],2004,01/12,"1,100"
9,[],[],평균,[],2004,01/13,"1,100"
10,[],[],평균,[],2004,01/14,"1,100"
11,[],[],평균,[],2004,01/15,"1,100"
12,[],[],평균,[],2004,01/16,"1,100"
13,[],[],평균,[],2004,01/17,"1,200"
14,[],[],평균,[],2004,01/19,"1,200"
15,[],[],평균,[],2004,01/20,"1,200"
16,[],[],평균,[],2004,01/24,"1,200"
17,[],[],평균,[],2004,01/26,"1,200"
18,[],[],평균,[],2004,01/27,"1,200"
19,[],[],평균,[],2004,01/28,"1,200"
20,[],[],평균,[],2004,01/29,"1,200"
21,[],[],평균,[],2004,01/30,"1,200"
22,[],[],평균,[],2004,01/31,"1,200"
23,[],[],평균,[],2004,02/02,"1,200"
24,[],[],평균,[],2004,02/03,"1,200"
25,[],[],평균,[],2004,02/04,"1,200"
26,[],[],평균,[],2004,02/05,"1,200"
27,[],[],평균,[],2004,02/06,"1,200"
28,[],[],평균,[],2004,02/07,"1,200"
29,[],[],평균,[],2004,02/09,"1,200"
30,[],[],평균,[],2004,02/10,"1,300"
31,[],[],평균,[],2004,02/11,"1,300"
32,[],[],평균,[],2004,02/12,"1,300"
33,[],[],평균,[],2004,02/13,"1,300"
34,[],[],평균,[],2004,02/14,"1,300"
35,[],[],평균,[],2004,02/16,"1,300"
36,[],[],평균,[],2004,02/17,"1,300"
37,[],[],평균,[],2004,02/18,"1,300"
38,[],[],평균,[],2004,02/19,"1,300"
39,[],[],평균,[],2004,02/20,"1,300"
40,[],[],평균,[],2004,02/21,"1,300"
41,[],[],평균,[],2004,02/23,"1,300"
42,[],[],평균,[],2004,02/24,"1,300"
43,[],[],평균,[],2004,02/25,"1,300"
44,[],[],평균,[],2004,02/26,"1,300"
45,[],[],평균,[],2004,02/27,"1,300"
46,[],[],평균,[],2004,02/28,"1,300"
47,[],[],평균,[],2004,03/02,"1,300"
48,[],[],평균,[],2004,03/03,"1,300"
49,[],[],평균,[],2004,03/04,"1,300"
50,[],[],평균,[],2004,03/05,"1,300"
51,[],[],평균,[],2004,03/06,"1,300"
52,[],[],평균,[],2004,03/08,"1,300"
53,[],[],평균,[],2004,03/09,"1,300"
54,[],[],평균,[],2004,03/10,"1,300"
55,[],[],평균,[],2004,03/11,"1,300"
56,[],[],평균,[],2004,03/12,"1,300"
57,[],[],평균,[],2004,03/13,"1,300"
58,[],[],평균,[],2004,03/15,"1,300"
59,[],[],평균,[],2004,03/16,"1,300"
60,[],[],평균,[],2004,03/17,"1,300"
