,itemname,kindname,countyname,marketname,yyyy,regday,price
0,[],[],평균,[],2008,01/02,"2,000"
1,[],[],평균,[],2008,01/03,"2,000"
2,[],[],평균,[],2008,01/04,"2,500"
3,[],[],평균,[],2008,01/07,"2,000"
4,[],[],평균,[],2008,01/08,"2,000"
5,[],[],평균,[],2008,01/09,"2,000"
6,[],[],평균,[],2008,01/10,"2,000"
7,[],[],평균,[],2008,01/11,"2,000"
8,[],[],평균,[],2008,01/14,"2,000"
9,[],[],평균,[],2008,01/15,"2,000"
10,[],[],평균,[],2008,01/16,"2,000"
11,[],[],평균,[],2008,01/17,"2,000"
12,[],[],평균,[],2008,01/18,"2,000"
13,[],[],평균,[],2008,01/21,"2,000"
14,[],[],평균,[],2008,01/22,"2,000"
15,[],[],평균,[],2008,01/23,"2,100"
16,[],[],평균,[],2008,01/24,"2,100"
17,[],[],평균,[],2008,01/25,"2,100"
18,[],[],평균,[],2008,01/28,"2,100"
19,[],[],평균,[],2008,01/29,"2,100"
20,[],[],평균,[],2008,01/30,"2,100"
21,[],[],평균,[],2008,01/31,"2,100"
22,[],[],평균,[],2008,02/01,"2,100"
23,[],[],평균,[],2008,02/04,"2,000"
24,[],[],평균,[],2008,02/05,"2,000"
25,[],[],평균,[],2008,02/11,"2,000"
26,[],[],평균,[],2008,02/12,"2,000"
27,[],[],평균,[],2008,02/13,"2,000"
28,[],[],평균,[],2008,02/14,"2,000"
29,[],[],평균,[],2008,02/15,"2,000"
30,[],[],평균,[],2008,02/18,"2,300"
31,[],[],평균,[],2008,02/19,"2,300"
32,[],[],평균,[],2008,02/20,"2,300"
33,[],[],평균,[],2008,02/21,"2,300"
34,[],[],평균,[],2008,02/22,"2,200"
35,[],[],평균,[],2008,02/25,"2,200"
36,[],[],평균,[],2008,02/26,"2,200"
37,[],[],평균,[],2008,02/27,"2,200"
38,[],[],평균,[],2008,02/28,"2,200"
39,[],[],평균,[],2008,02/29,"2,200"
40,[],[],평균,[],2008,03/03,"2,200"
41,[],[],평균,[],2008,03/04,"2,200"
42,[],[],평균,[],2008,03/05,"2,200"
43,[],[],평균,[],2008,03/06,"2,200"
44,[],[],평균,[],2008,03/07,"2,200"
45,[],[],평균,[],2008,03/10,"2,200"
46,[],[],평균,[],2008,03/11,"2,200"
47,[],[],평균,[],2008,03/12,"2,200"
48,[],[],평균,[],2008,03/13,"2,200"
49,[],[],평균,[],2008,03/14,"2,200"
50,[],[],평균,[],2008,03/17,"2,200"
51,[],[],평균,[],2008,03/18,"2,200"
52,[],[],평균,[],2008,03/19,"2,000"
53,[],[],평균,[],2008,03/20,"1,800"
54,[],[],평균,[],2008,03/21,"1,700"
55,[],[],평균,[],2008,03/24,"1,700"
56,[],[],평균,[],2008,03/25,"1,700"
57,[],[],평균,[],2008,03/26,"1,700"
58,[],[],평균,[],2008,03/27,"1,700"
59,[],[],평균,[],2008,03/28,"1,700"
60,[],[],평균,[],2008,03/31,"1,700"
61,[],[],평균,[],2008,04/01,"1,700"
62,[],[],평균,[],2008,04/02,"1,700"
63,[],[],평균,[],2008,04/03,"1,500"
64,[],[],평균,[],2008,04/04,"1,500"
65,[],[],평균,[],2008,04/07,"1,300"
66,[],[],평균,[],2008,04/08,"1,300"
67,[],[],평균,[],2008,04/10,"1,300"
68,[],[],평균,[],2008,04/11,"1,300"
69,[],[],평균,[],2008,04/14,"1,300"
70,[],[],평균,[],2008,04/15,"1,300"
71,[],[],평균,[],2008,04/16,"1,300"
72,[],[],평균,[],2008,04/17,"1,200"
73,[],[],평균,[],2008,04/18,"1,100"
