,itemname,kindname,countyname,marketname,yyyy,regday,price
0,[],[],평균,[],2016,01/04,"2,500"
1,[],[],평균,[],2016,01/05,"2,500"
2,[],[],평균,[],2016,01/06,"2,500"
3,[],[],평균,[],2016,01/07,"2,500"
4,[],[],평균,[],2016,01/08,"2,500"
5,[],[],평균,[],2016,01/11,"2,500"
6,[],[],평균,[],2016,01/12,"2,500"
7,[],[],평균,[],2016,01/13,"2,500"
8,[],[],평균,[],2016,01/14,"2,500"
9,[],[],평균,[],2016,01/15,"2,500"
10,[],[],평균,[],2016,01/18,"2,500"
11,[],[],평균,[],2016,01/19,"2,500"
12,[],[],평균,[],2016,01/20,"2,500"
13,[],[],평균,[],2016,01/21,"2,500"
14,[],[],평균,[],2016,01/22,"2,500"
15,[],[],평균,[],2016,01/25,"2,500"
16,[],[],평균,[],2016,01/26,"2,500"
17,[],[],평균,[],2016,01/27,"2,500"
18,[],[],평균,[],2016,01/28,"2,500"
19,[],[],평균,[],2016,01/29,"2,500"
20,[],[],평균,[],2016,02/01,"2,500"
21,[],[],평균,[],2016,02/02,"2,500"
22,[],[],평균,[],2016,02/03,"2,500"
23,[],[],평균,[],2016,02/04,"2,500"
24,[],[],평균,[],2016,02/05,"2,500"
25,[],[],평균,[],2016,02/11,"2,500"
26,[],[],평균,[],2016,02/12,"2,500"
27,[],[],평균,[],2016,02/15,"2,500"
28,[],[],평균,[],2016,02/16,"2,500"
29,[],[],평균,[],2016,02/17,"2,500"
30,[],[],평균,[],2016,02/18,"2,300"
31,[],[],평균,[],2016,02/19,"2,300"
32,[],[],평균,[],2016,02/22,"2,300"
33,[],[],평균,[],2016,02/23,"2,300"
34,[],[],평균,[],2016,02/24,"2,300"
35,[],[],평균,[],2016,02/25,"2,300"
36,[],[],평균,[],2016,02/26,"2,300"
37,[],[],평균,[],2016,02/29,"2,300"
38,[],[],평균,[],2016,03/02,"2,300"
39,[],[],평균,[],2016,03/03,"2,300"
