,itemname,kindname,countyname,marketname,yyyy,regday,price
0,[],[],평균,[],2016,01/04,"2,100"
1,[],[],평균,[],2016,01/05,"2,100"
2,[],[],평균,[],2016,01/06,"2,100"
3,[],[],평균,[],2016,01/07,"2,100"
4,[],[],평균,[],2016,01/08,"2,100"
5,[],[],평균,[],2016,01/11,"2,100"
6,[],[],평균,[],2016,01/12,"2,100"
7,[],[],평균,[],2016,01/13,"2,100"
8,[],[],평균,[],2016,01/14,"2,100"
9,[],[],평균,[],2016,01/15,"2,100"
10,[],[],평균,[],2016,01/18,"2,100"
11,[],[],평균,[],2016,01/19,"2,100"
12,[],[],평균,[],2016,01/20,"2,100"
13,[],[],평균,[],2016,01/21,"2,100"
14,[],[],평균,[],2016,01/22,"2,100"
15,[],[],평균,[],2016,01/25,"2,100"
16,[],[],평균,[],2016,01/26,"2,100"
17,[],[],평균,[],2016,01/27,"2,100"
18,[],[],평균,[],2016,01/28,"2,100"
19,[],[],평균,[],2016,01/29,"2,100"
20,[],[],평균,[],2016,02/01,"2,100"
21,[],[],평균,[],2016,02/02,"2,100"
22,[],[],평균,[],2016,02/03,"2,100"
23,[],[],평균,[],2016,02/04,"2,100"
24,[],[],평균,[],2016,02/05,"2,100"
25,[],[],평균,[],2016,02/11,"2,100"
26,[],[],평균,[],2016,02/12,"2,100"
27,[],[],평균,[],2016,02/15,"2,100"
28,[],[],평균,[],2016,02/16,"2,100"
29,[],[],평균,[],2016,02/17,"2,100"
30,[],[],평균,[],2016,02/18,"2,100"
31,[],[],평균,[],2016,02/19,"2,100"
32,[],[],평균,[],2016,02/22,"2,100"
33,[],[],평균,[],2016,02/23,"2,100"
34,[],[],평균,[],2016,02/24,"2,100"
35,[],[],평균,[],2016,02/25,"2,100"
36,[],[],평균,[],2016,02/26,"2,100"
37,[],[],평균,[],2016,02/29,"2,100"
38,[],[],평균,[],2016,03/02,"2,100"
39,[],[],평균,[],2016,03/03,"2,100"
40,[],[],평균,[],2016,03/04,"2,100"
41,[],[],평균,[],2016,03/07,"2,100"
42,[],[],평균,[],2016,03/08,"2,100"
43,[],[],평균,[],2016,03/09,"2,100"
44,[],[],평균,[],2016,03/10,"2,100"
45,[],[],평균,[],2016,03/11,"2,100"
46,[],[],평균,[],2016,03/14,"2,100"
47,[],[],평균,[],2016,03/15,"2,100"
48,[],[],평균,[],2016,03/16,"2,100"
49,[],[],평균,[],2016,03/17,"2,100"
50,[],[],평균,[],2016,03/18,"2,100"
51,[],[],평균,[],2016,03/21,"2,100"
52,[],[],평균,[],2016,03/22,"2,100"
53,[],[],평균,[],2016,03/23,"2,100"
54,[],[],평균,[],2016,03/24,"2,100"
55,[],[],평균,[],2016,03/25,"2,100"
56,[],[],평균,[],2016,03/28,"2,100"
57,[],[],평균,[],2016,03/29,"2,100"
58,[],[],평균,[],2016,03/30,"2,100"
59,[],[],평균,[],2016,03/31,"2,100"
60,[],[],평균,[],2016,04/01,"2,100"
61,[],[],평균,[],2016,04/04,"2,100"
62,[],[],평균,[],2016,04/05,"2,100"
63,[],[],평균,[],2016,04/06,"2,100"
64,[],[],평균,[],2016,04/07,"2,100"
65,[],[],평균,[],2016,04/08,"2,100"
66,[],[],평균,[],2016,04/11,"2,100"
67,[],[],평균,[],2016,04/12,"2,100"
68,[],[],평균,[],2016,04/14,"2,100"
69,[],[],평균,[],2016,04/15,"2,100"
70,[],[],평균,[],2016,04/18,"2,100"
71,[],[],평균,[],2016,04/19,"2,100"
72,[],[],평균,[],2016,04/20,"2,100"
73,[],[],평균,[],2016,05/02,"2,100"
74,[],[],평균,[],2016,05/03,"2,100"
75,[],[],평균,[],2016,05/04,"2,100"
76,[],[],평균,[],2016,05/09,"2,100"
77,[],[],평균,[],2016,05/10,"2,100"
78,[],[],평균,[],2016,05/11,"2,100"
79,[],[],평균,[],2016,05/12,"2,100"
80,[],[],평균,[],2016,05/13,"2,100"
81,[],[],평균,[],2016,05/16,"1,900"
82,[],[],평균,[],2016,05/17,"1,900"
83,[],[],평균,[],2016,05/18,"1,900"
84,[],[],평균,[],2016,05/19,"1,900"
85,[],[],평균,[],2016,05/20,"1,900"
86,[],[],평균,[],2016,05/23,"1,900"
